image_id,tp,fp_phantom,fp_overlap,fn
_687_jpg.rf.30e66f3bf3466b0f7e32b56d3937c2fd.jpg,1,0,0,0
_454_jpg.rf.238fdbd5d6e01208e7f19028fb13415e.jpg,0,0,1,1
s0014_08351_0_0_1_1_0_02_png_jpg.rf.610e09b7a3007d1f80a5964863b57c7f.jpg,1,0,0,0
_514_jpg.rf.25560c1e08dd350b9d4bb0beedf988e8.jpg,1,0,0,0
45_jpg.rf.20d500a3cc4fbc1652f7f5bb5f93ef02.jpg,0,1,1,2
s0019_06023_0_0_1_0_0_01_png_jpg.rf.9b4160f05bdbe0f2af0e9693ea447676.jpg,1,0,0,0
000147_jpg.rf.e00cd0fed8014a6b7dc09979c23aaba2.jpg,2,0,0,0
closed_eye_1690-jpg_face_1_jpg.rf.aedc64eabc51d19d2d83d979f42e83f2.jpg,2,0,0,0
image_2040_jpg.rf.9ced8c0e48904fc6b1281453b4fb975a.jpg,2,0,0,0
433_jpg.rf.3e138c6addbde2df78f74788d3fdd831.jpg,2,0,1,1
closed_eye_2137-jpg_face_1_jpg.rf.4dfa24bf3b37f5afe63c5b3d826332d7.jpg,1,1,0,0
img_000523_jpg.rf.201e5be5e75406759f54988bec8aa166.jpg,1,1,0,0
492_jpg.rf.e790cd49601363c41843345860455297.jpg,1,1,0,0
67_jpg.rf.e0bf712b9004d70db9aee6d0052da525.jpg,2,1,0,0
94_jpg.rf.af369892910d4325a06084a88b985b2b.jpg,1,0,0,0
_173_jpg.rf.efa137cd16beabbe6917a0afbb9723cb.jpg,0,0,1,1
670_jpg.rf.a309f79455c21d628da752558e402b4b.jpg,1,1,0,1
closed_eye_1393-jpg_face_1_jpg.rf.2399bf4d9a147e18796952cb64161b06.jpg,2,0,0,0
1615_jpg.rf.7a6eeb8ba0f7c7b5f09b6cd2ed3c249b.jpg,1,0,0,0
_426_jpg.rf.59e037dc0ed6148d687674c4424f624e.jpg,0,0,1,1
_420_jpg.rf.ec0c6912b653cf656981a308dd64791f.jpg,1,0,0,0
closed_eye_2046-jpg_face_1_jpg.rf.884eff3f4d66ff98b6c5544353dad50c.jpg,2,0,0,0
img_000475_jpg.rf.1c2a6944aac0135c2d185da62d061fbb.jpg,1,2,0,0
closed_eye_2165-jpg_face_3_jpg.rf.094a3b2049664ac2ff554bfbb40c98e9.jpg,2,2,0,0
s0034_00005_0_0_0_0_0_02_png.rf.cd818bba425da48e76ed2e610bac4b38.jpg,1,0,0,0
1252_jpg.rf.69306d6d7b24bde5e1637930dec2aa31.jpg,1,2,0,0
closed_eye_0253-jpg_face_3_jpg.rf.d793c0825575da9a5163e28642acc260.jpg,2,0,0,0
231_jpg.rf.d52960dde6beb9bcd939e4c130d362b5.jpg,1,2,0,0
176_jpg.rf.d997bb5f1b9b039cb6ff5e4ac02d3679.jpg,1,0,0,0
738_jpg.rf.db297f682219b28c363a34d0a358756b.jpg,1,0,0,0
909_jpg.rf.2d969066c4d85bef2ce40be4fd36dd64.jpg,1,1,0,0
_659_jpg.rf.24e7e3d3248972331a4e8dcab1e9caa1.jpg,0,0,0,1
_462_jpg.rf.3abf1a5710cc17d7c39ed9e3b70b67d7.jpg,1,0,0,0
2478_jpg.rf.d2c7c0caaafe04ebe05f93432adfafe5.jpg,2,0,0,0
763_jpg.rf.e1c2cfc7d4b100db9733ba77e1bcbefa.jpg,1,0,0,0
_342_jpg.rf.ae31dca94cf61f7993e1283bb6a2834c.jpg,1,0,0,0
Yimg_000143_jpg.rf.a1d99816d57cc328e841ea7afce097f6.jpg,1,0,0,0
417_jpg.rf.77e20c8173dd26fb01b0b75bab98d2a2.jpg,1,0,0,0
_702_jpg.rf.cd8c3fab5d706d98759e20364c9cee12.jpg,0,0,1,1
_212_jpg.rf.98be6f40f906d9be8d44c1a0d83f3db8.jpg,1,0,0,0
_229_jpg.rf.b84aa86554c01a0695291e8c704d4fbd.jpg,1,0,0,0
closed_eye_1260-jpg_face_2_jpg.rf.61be4495ec8a4b464c4a286ba48cfe19.jpg,2,0,0,0
404_jpg.rf.1145b960ca779e4facbd0948cc2f1735.jpg,1,3,0,0
_168_jpg.rf.d6d803884d4ea199ee69aa578e6e86f7.jpg,1,0,0,0
704_jpg.rf.2813789b10467da271b303c15b06dd93.jpg,1,0,0,0
311_jpg.rf.1143c09edbe2c6429a3e1a0a2575014e.jpg,1,0,0,0
yawn-908b6ede-3043-11ec-bb8f-302432df5bc8_jpg.rf.a5b4eb1597f727a19d93e7c32fb89b82.jpg,1,0,0,0
1320_jpg.rf.4babc204e3a7f5b28262d438f26b1800.jpg,1,0,0,0
closed_eye_2267-jpg_face_1_jpg.rf.13e1e327c54eb494db8925d689fa3527.jpg,2,0,0,0
139_jpg.rf.519c11d3bab5b8b4f1cfd1f4fe34dac9.jpg,1,1,0,0
_260_jpg.rf.5fc276fb6555e50897ff74fd8c4ea4e2.jpg,1,1,0,0
_120_jpg.rf.d15fdf528cf247751929019f23b73596.jpg,1,0,0,0
_348_jpg.rf.5680ec1c0ce20c0cc89a185aeca7318e.jpg,0,0,1,1
_703_jpg.rf.06d7f0f483b03da84bbb139b06416506.jpg,0,1,0,0
closed_eye_0312-jpg_face_2_jpg.rf.a7336c4fb2b4f447394fc648dd8fde76.jpg,2,0,0,0
s0016_00376_1_0_0_0_1_01_png.rf.1a33938e2efe43d6d2011336de6234cd.jpg,1,0,0,0
1346_jpg.rf.7ae3d99402c8b20ebb9c5ce4f7eae869.jpg,1,0,0,0
closed_eye_0649-jpg_face_1_jpg.rf.631ca195fa00e5baf0278bf802cb1f17.jpg,1,0,0,1
_609_jpg.rf.ff03b8545039d46b5020c7a310ff014b.jpg,1,0,0,0
closed_eye_2186-jpg_face_1_jpg.rf.6fb5c2dd11f0071841058cd20d54648d.jpg,0,0,0,2
closed_eye_0638-jpg_face_1_jpg.rf.e8fc9e4f97059d29d17e40fd5b62b527.jpg,2,0,0,0
_342_jpg.rf.cb06804189e85358b7fbf7912b9af58a.jpg,1,0,0,0
_482_jpg.rf.ab872fb8c43b2e13cf8c63a309cbe37f.jpg,0,0,0,1
_699_jpg.rf.0eda89b6853d105b40178a88fb0be01a.jpg,1,0,0,0
876_jpg.rf.0d63ddb897810bf8d14ae6a0c9fbe028.jpg,1,0,0,0
247_jpg.rf.162c2c12b18cf16d43b654a3c3f1ba6a.jpg,1,0,0,0
output_0023-mkv-240_jpg.rf.e44d8a67042afe62e25e8131cce8129c.jpg,0,0,0,3
closed_eye_0899-jpg_face_1_jpg.rf.67c4e51d7ed5469e7096fcac259d2c7c.jpg,2,0,0,0
3223_jpg.rf.e4a6fce773431e84ee58ef3e0e04e4db.jpg,1,0,0,0
499_jpg.rf.313c75d25396691363c1466de7a96841.jpg,1,0,0,0
460_jpg.rf.7823ef2dd29f4418fef155cd25b4540f.jpg,2,2,0,0
61_jpg.rf.6747f0bdd46ae4d51a14493aa321541d.jpg,1,2,0,0
_345_jpg.rf.80d309b75288939f109e563884d676b3.jpg,0,0,1,1
1219_jpg.rf.70e5afa859d957b2f0acd7fdd03f053c.jpg,1,0,0,0
_346_jpg.rf.53d06de73d2edd27747e4c236259b21f.jpg,1,0,0,0
690_jpg.rf.e55ed76ec6205fa626b8e5144e6692df.jpg,1,2,0,0
1744_jpg.rf.05cb165033eaf00f321f2381c7a20315.jpg,1,0,0,0
closed_eye_1363-jpg_face_1_jpg.rf.b4c44b3635cbfda13070e683a8a1f453.jpg,2,0,0,0
295_jpg.rf.f96da4fdeded032abe656a037c3d55ea.jpg,2,1,0,0
1288_jpg.rf.fbc7430d12403ad9929714ad48433df6.jpg,1,1,0,0
2955_jpg.rf.dae7f537787185a730d40fabe59cca7c.jpg,1,0,0,0
1084_jpg.rf.55b8fc4761012e1117c61c33229cf6bc.jpg,1,0,0,0
istockphoto-641147308-612x612_jpg.rf.4159d722115a290fd88bd2e98c234d57.jpg,1,0,0,2
348_jpg.rf.36f19c1524c5004b731be0becc4c4cdf.jpg,2,1,0,0
_385_jpg.rf.3e26cb59feeb65e3817d7f3599b4a20d.jpg,1,0,0,0
_147_jpg.rf.d012399a949ec3abbf936dbe82a47388.jpg,1,0,0,0
closed_eye_1942-jpg_face_2_jpg.rf.fed5fda3dd7896711504fb8bb1798e05.jpg,2,0,0,0
18_jpg.rf.872aca3f2242f1360342ea169e446eb1.jpg,1,1,0,0
closed_eye_0900-jpg_face_2_jpg.rf.070fdd28afd4f552d11d1ebca9ff1fb1.jpg,2,1,0,0
473_jpg.rf.470fb048ea8ba7d3efa4cac8003ea740.jpg,2,0,1,1
572_jpg.rf.812db244e20a9c82ed29bbc429451a0f.jpg,1,1,0,1
_554_jpg.rf.5e1d6c9dfc8f10c2f370637078010679.jpg,1,0,0,0
441_jpg.rf.f596ae7ad9cc33090d91bce17e3e6393.jpg,1,1,0,1
224_jpg.rf.cdff0f734bad7db95250c5dbf88fba96.jpg,1,2,0,0
99_jpg.rf.9c91930c0b6381dae086e1cbaa05b868.jpg,1,0,0,0
179_jpg.rf.75954ee29bdfb2f69eefb9a4053de128.jpg,1,2,1,0
000040_jpg.rf.9b466fa27e04d58596ecea1cc2f0d6bd.jpg,1,0,0,0
_595_jpg.rf.7d70a12842143e734c83c2005010b7a3.jpg,1,0,0,0
1286_jpg.rf.94051f09c37c90dd5d2eb06370260f40.jpg,1,1,0,0
s0016_00399_1_0_0_0_1_01_png.rf.6dfd96eb0c2831c983b3dc68e30cfba9.jpg,1,0,0,0
s0016_01380_1_0_0_0_1_01_png.rf.592dd0727b5f958a106c6dffd50a351b.jpg,1,0,0,0
799_jpg.rf.b844ec69390a260b2c87142f7a50c3b7.jpg,1,2,0,0
closed_eye_0860-jpg_face_1_jpg.rf.c022a2c964b1cc70df12111e1c330ae8.jpg,2,0,0,0
closed_eye_1077-jpg_face_3_jpg.rf.d967069a075eca3859377a2a098e46c8.jpg,1,0,0,1
_587_jpg.rf.55db5d929ea229d647a50f5503e3e6e8.jpg,1,0,0,0
571_jpg.rf.e40136217bd5c2908ac0043a7e40363b.jpg,0,1,2,2
255_jpg.rf.a62d0e9d57e72a6193ff836bdfe71840.jpg,1,0,0,0
185_jpg.rf.ff45fb7c16763364a20424ac0cb30633.jpg,2,2,0,0
794_jpg.rf.58d92306b7bb19e3de34341d0bdda50c.jpg,1,1,0,0
closed_eye_0087-jpg_face_1_jpg.rf.9ea96441f1cbc08915fa22e6c0fbbc92.jpg,2,0,0,0
000517_jpg.rf.6b40393c66570d7712e6e759e1084517.jpg,1,0,1,1
258_jpg.rf.de71f8aaaa0115b2c5e94faa382367ad.jpg,1,0,0,0
istockphoto-910589784-612x612_jpg.rf.fc98cfc7408d962b09ffce590cf2db53.jpg,1,1,1,2
closed_eye_2689-jpg_face_4_jpg.rf.f2d655b8a4b6133e9966752fae985de8.jpg,2,0,0,0
_455_jpg.rf.0e4deba33c4e43a0105759ed7d688754.jpg,1,0,0,0
Yimg_000079_jpg.rf.1171b4a18bfafb106a826c0cce8e47e5.jpg,1,0,0,0
_238_jpg.rf.68144f23bdd7f9c2f183d6bb94e36ef9.jpg,0,1,0,0
1132_jpg.rf.38e8d500f5fcca33c0cbc2625b968fe6.jpg,1,0,0,0
469_jpg.rf.5531eccaa3cb34f57a90320707baa0fa.jpg,1,1,1,0
closed_eye_0035-BMP_face_1_jpg.rf.f679703e489b524168e5ac54a448d4e9.jpg,0,2,0,1
_563_jpg.rf.54caef2aa0bfbee44d6fe8e35906e251.jpg,0,0,0,1
723_jpg.rf.2e53a1fe15fe42c4555f8fbf1ecc8c76.jpg,1,2,0,0
img_000381_jpg.rf.cac2ffb17ad2d6820d410788497c5731.jpg,1,0,0,0
_654_jpg.rf.390bdd8c70c2990a8a6fcb424d5f0148.jpg,1,0,0,0
Yimg_000051_jpg.rf.e6f47614a64a88853ffd15e9945b3d41.jpg,1,0,0,0
3206_jpg.rf.d9b4c55b414506e6a3d8311709acac20.jpg,1,0,0,0
closed_eye_1190-jpg_face_1_jpg.rf.dc6035da8eb82093c602fdae0c943ba5.jpg,1,0,0,1
_254_jpg.rf.3e92f98f32adb39dcda38d4814756f95.jpg,0,0,1,1
PIXECT-20220526010531_jpg.rf.3f08d3c90b0c049f18ca701a9ceea689.jpg,0,0,0,1
419_jpg.rf.6b819e59f990b242bb58580ffd4c7fda.jpg,1,2,0,0
1429_jpg.rf.72d8787daf2b30b464c8c8beceb2ce20.jpg,1,2,0,0
_643_jpg.rf.5c027b4f6fcc8031e3fee8df4cfcf44d.jpg,0,0,2,1
677_jpg.rf.381c3c1b488b41e634fd67581e15c8d4.jpg,3,0,0,0
yawn-238ea35c-3044-11ec-80b5-302432df5bc8_jpg.rf.74ea85de0fee1219fbc2968ca1c5b023.jpg,1,0,0,0
closed_eye_0034-jpg_face_4_jpg.rf.8873c5ba39633825d65d9352f4fc5b83.jpg,1,0,1,1
1121_jpg.rf.9fc8422c6d9fa4225cad634810c85fa8.jpg,1,0,1,0
_0_jpg.rf.d34e31002772d6833ad4ed943a157b42.jpg,1,0,0,0
000488_jpg.rf.4fb014f70f3f90362c5e781cd3f6bb84.jpg,2,0,0,0
closed_eye_2798-jpg_face_1_jpg.rf.4c430db85eaacf83701ccc183a34bdd7.jpg,2,0,0,0
closed_eye_0745-jpg_face_2_jpg.rf.4e136a472a2a305ca0dfaf4ffed27b6f.jpg,2,1,0,0
1325_jpg.rf.05c3876e6a9f603e6eac500ebabb9bb1.jpg,1,0,0,0
_19_jpg.rf.acce890e40fa06615930319663ab734c.jpg,1,0,0,0
772_jpg.rf.01adb97a35922ab5067c134a1f3ab267.jpg,1,0,0,0
webcam-toy-photo45_jpg.rf.d3de6f170465dbd6be71d9d6a387bd95.jpg,2,0,0,0
Yimg_000024_jpg.rf.6ae64456f9fc6f1e27d2bfe7e6176eb9.jpg,1,0,0,0
447_jpg.rf.29c54502781bdc133fa94ce1cd2fec21.jpg,1,0,0,0
_701_jpg.rf.b0f79980ba4b0fe1c433ec10b633a4f5.jpg,1,0,0,0
1262_jpg.rf.1de7143366d29eaddcf3169461e91e30.jpg,1,2,0,0
311_jpg.rf.9a0c4f9347108a1b95d3d2c6ab4f4952.jpg,1,1,0,1
328_jpg.rf.9623fc049b5635344e9f50e8c31fb79f.jpg,1,0,0,0
_701_jpg.rf.00a6fdd689fb99d1078db6f5b5bc389e.jpg,1,0,0,0
s0016_01342_1_0_0_0_1_01_png.rf.f41770d95f09402f58eb45fa31fc1762.jpg,1,0,0,0
closed_eye_1655-BMP_face_2_jpg.rf.cda18667388b827e43c98310826092c4.jpg,2,0,0,0
65_jpg.rf.31e1db2679ebc427d4d32192e5e59004.jpg,0,1,1,2
167671301_1_jpg.rf.b4b79b63ff48320a5f30230b825f2f0c.jpg,1,0,0,1
10_jpg.rf.c51440db5affdaa977fb4f335f50cb18.jpg,1,1,0,1
231_jpg.rf.a64e2dfe890f0ced79e06d250dc6b2ca.jpg,1,2,0,0
724_jpg.rf.a2184e7a01045a9ac811eed609499a7f.jpg,1,2,1,0
715_jpg.rf.917e6938dc90ac6a4bec44244e6dbbc3.jpg,2,1,0,0
19_jpg.rf.f809b0b5f4a4b1deafc333b730750970.jpg,1,2,0,0
s0016_01429_1_0_0_0_1_01_png.rf.a5c04f94828cebcc48d76d774dbac7f9.jpg,1,0,0,0
