epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,27313.5,1.27847,0.78473,0.02009,0.77141,0.79401,0.86804,0.52603,1.31446,0.74243,0.02505,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,28313.9,1.27352,0.78583,0.01998,0.76928,0.79471,0.8685,0.52622,1.31621,0.73885,0.02509,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,29300,1.27477,0.78729,0.01996,0.76748,0.79512,0.86827,0.52656,1.31791,0.73345,0.02512,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,30285.5,1.26378,0.78161,0.01971,0.77107,0.7944,0.86933,0.52727,1.31761,0.7325,0.02512,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,31271.7,1.26708,0.77647,0.01988,0.77119,0.79401,0.86841,0.52703,1.31862,0.73174,0.02513,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,32257.4,1.26818,0.77735,0.01982,0.76944,0.79498,0.86867,0.52726,1.3178,0.72967,0.02513,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,33244.5,1.26579,0.77455,0.01974,0.77229,0.79139,0.86852,0.5272,1.31729,0.72656,0.02512,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,34230.2,1.26262,0.78083,0.01973,0.77024,0.79053,0.86849,0.52714,1.31621,0.72691,0.0251,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,35216,1.26268,0.7728,0.01981,0.77305,0.78926,0.86774,0.52737,1.3141,0.72789,0.02506,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,36202.1,1.25748,0.75273,0.01968,0.77516,0.78892,0.86894,0.52761,1.31323,0.72813,0.02503,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,37189.3,1.25342,0.75876,0.01948,0.77371,0.79097,0.86846,0.52806,1.31212,0.72733,0.02501,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,38176,1.25516,0.76083,0.01953,0.77076,0.79109,0.8674,0.5279,1.30895,0.72917,0.02494,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,39163.2,1.24704,0.76172,0.01934,0.77217,0.79001,0.86871,0.52889,1.30774,0.72411,0.02491,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,40149.8,1.24887,0.75312,0.01936,0.77171,0.79157,0.8692,0.52954,1.30704,0.72367,0.02489,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,41136.8,1.24298,0.74901,0.01933,0.77213,0.79139,0.86974,0.53019,1.30722,0.72098,0.02488,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,42124,1.23506,0.74989,0.01912,0.7715,0.7924,0.86989,0.52981,1.3079,0.71954,0.02489,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,43111.4,1.23485,0.74449,0.01907,0.77023,0.79365,0.87058,0.5303,1.3091,0.7161,0.02487,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,44098.1,1.23043,0.73964,0.01904,0.76678,0.79475,0.8701,0.53035,1.30838,0.71536,0.02487,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,45084.8,1.22482,0.74137,0.01894,0.76961,0.79357,0.8703,0.53015,1.30783,0.71399,0.02486,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,46071.5,1.22865,0.73397,0.01894,0.76749,0.79779,0.87009,0.53082,1.30818,0.71077,0.02485,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,47058.4,1.22579,0.73485,0.01895,0.76883,0.7956,0.87031,0.531,1.30687,0.7102,0.02482,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,48045.5,1.22115,0.73086,0.01888,0.77391,0.79205,0.87054,0.53136,1.30618,0.70621,0.02481,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,49031.8,1.21843,0.73507,0.01882,0.77641,0.79117,0.87083,0.53175,1.30548,0.70898,0.02477,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,50018.2,1.22071,0.73959,0.01893,0.77506,0.79169,0.87085,0.53101,1.30396,0.71189,0.02474,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,51005.7,1.21855,0.73641,0.01878,0.77764,0.79265,0.8717,0.53141,1.3047,0.70875,0.02478,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,51993.2,1.20397,0.72895,0.01858,0.76885,0.80222,0.87241,0.53139,1.30389,0.70725,0.02476,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,52980,1.20842,0.7245,0.01856,0.77228,0.79429,0.87117,0.53105,1.30198,0.7091,0.02474,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,53966.9,1.20204,0.72266,0.0185,0.76749,0.80097,0.87201,0.53102,1.30138,0.70926,0.02473,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,54954,1.1977,0.71297,0.01843,0.76173,0.80822,0.87252,0.53157,1.30131,0.7103,0.02474,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,55941.4,1.19729,0.71776,0.0184,0.75782,0.80887,0.87193,0.53086,1.30115,0.7122,0.02472,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,56928.5,1.19189,0.71171,0.01836,0.75188,0.8195,0.87156,0.53136,1.30121,0.71118,0.02471,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,57915.4,1.19019,0.70416,0.01833,0.74372,0.82278,0.86943,0.52875,1.29968,0.71925,0.02466,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,58902.1,1.18741,0.70275,0.01831,0.74847,0.8199,0.87118,0.52945,1.29945,0.71608,0.02469,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,59889.9,1.17544,0.70511,0.01795,0.74915,0.81422,0.86829,0.52644,1.30107,0.71974,0.02479,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,60876.7,1.17822,0.70622,0.01801,0.7316,0.82534,0.86362,0.52382,1.29826,0.73416,0.02467,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,61863.9,1.17044,0.69249,0.01785,0.73357,0.82231,0.8632,0.52452,1.29609,0.73688,0.02462,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,62856.4,1.16877,0.69854,0.01777,0.73097,0.82197,0.85866,0.52239,1.29398,0.74541,0.02456,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,63843.3,1.16707,0.6851,0.01778,0.72635,0.82375,0.84957,0.51828,1.29292,0.7548,0.02454,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,64830.6,1.16147,0.68699,0.01774,0.72162,0.8226,0.84777,0.51649,1.29336,0.75727,0.02453,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,65817.9,1.15911,0.68734,0.01763,0.70557,0.81624,0.82223,0.50108,1.29075,0.79604,0.02447,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,66804.8,1.1549,0.6769,0.01762,0.70406,0.80356,0.81083,0.49375,1.29071,0.81146,0.02445,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,67791.5,1.15257,0.68741,0.01757,0.69129,0.81102,0.80175,0.48754,1.28989,0.83055,0.02442,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,68778.4,1.14636,0.68415,0.01743,0.68702,0.81355,0.79062,0.47739,1.2893,0.83948,0.0244,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,69765.3,1.14254,0.67955,0.01741,0.68061,0.81829,0.78067,0.4683,1.28861,0.84668,0.02438,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,70751.9,1.13761,0.67432,0.01725,0.68225,0.81347,0.78832,0.47504,1.28874,0.84676,0.02441,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,71686,1.13767,0.6672,0.01736,0.71549,0.79532,0.83605,0.50814,1.29454,0.78247,0.02468,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,72539.8,1.12789,0.67224,0.01711,0.73294,0.79794,0.85314,0.51781,1.29585,0.7521,0.02475,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,73394.7,1.12111,0.66323,0.01697,0.74161,0.79866,0.86164,0.52321,1.29511,0.73708,0.02475,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
