epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,52545.1,1.20529,2.53666,1.61688,0.77949,0.8243,0.87651,0.50453,1.39423,2.53641,1.86956,0.000741194,0.000741194,0.000741194
43,53768.8,1.20346,2.53059,1.6171,0.77924,0.82461,0.87684,0.50457,1.39394,2.53098,1.86912,0.000729725,0.000729725,0.000729725
44,54993.8,1.20137,2.51654,1.60814,0.78166,0.82376,0.87757,0.50508,1.39226,2.52391,1.86718,0.000718103,0.000718103,0.000718103
45,56223.9,1.19377,2.51163,1.60358,0.78335,0.82195,0.87756,0.50594,1.39055,2.51532,1.86553,0.000706335,0.000706335,0.000706335
46,57450.8,1.19292,2.4981,1.59739,0.78348,0.824,0.87835,0.50679,1.38909,2.50958,1.86323,0.000694428,0.000694428,0.000694428
47,58992.6,1.19118,2.49517,1.59704,0.78162,0.8254,0.87847,0.50679,1.38825,2.50287,1.86181,0.000682392,0.000682392,0.000682392
48,60218.2,1.19,2.47484,1.59539,0.78146,0.82553,0.87818,0.5067,1.38648,2.4964,1.85994,0.000670234,0.000670234,0.000670234
49,61684.1,1.18111,2.46081,1.58849,0.78171,0.82668,0.87852,0.50818,1.38468,2.4882,1.85849,0.000657963,0.000657963,0.000657963
50,63204,1.17927,2.45076,1.58685,0.78285,0.82731,0.87907,0.50838,1.38327,2.48154,1.85698,0.000645588,0.000645588,0.000645588
51,64665,1.17336,2.44204,1.58106,0.78217,0.82711,0.87951,0.50947,1.38196,2.47697,1.8552,0.000633115,0.000633115,0.000633115
52,1548.05,1.18,2.49449,1.59705,0.77997,0.83187,0.87974,0.50984,1.38033,2.47486,1.85523,0.000620555,0.000620555,0.000620555
53,2817.38,1.18538,2.50807,1.59947,0.78085,0.83288,0.88006,0.51052,1.37902,2.47304,1.85492,0.000607916,0.000607916,0.000607916
54,4380.38,1.18602,2.49131,1.59562,0.78108,0.83159,0.87971,0.5108,1.37726,2.47054,1.85359,0.000595207,0.000595207,0.000595207
55,6236.04,1.18444,2.47597,1.59083,0.78299,0.83083,0.88048,0.51141,1.37632,2.46844,1.85208,0.000582435,0.000582435,0.000582435
56,8079.44,1.17692,2.46081,1.58851,0.78146,0.83261,0.88048,0.51182,1.37616,2.46625,1.85163,0.00056961,0.00056961,0.00056961
57,9992.05,1.17589,2.45803,1.58856,0.78192,0.83365,0.88067,0.51185,1.37559,2.46201,1.85107,0.000556742,0.000556742,0.000556742
58,11712.6,1.16998,2.4458,1.57646,0.78126,0.83668,0.88121,0.51249,1.37437,2.45959,1.84885,0.000543837,0.000543837,0.000543837
59,12977.8,1.17545,2.4341,1.57964,0.78097,0.83769,0.88121,0.51293,1.37314,2.45659,1.84715,0.000530906,0.000530906,0.000530906
60,14571.4,1.1653,2.41891,1.56969,0.77852,0.83896,0.88113,0.51377,1.37153,2.45516,1.84505,0.000517958,0.000517958,0.000517958
61,15801.3,1.16513,2.40191,1.57023,0.77818,0.83939,0.88102,0.51398,1.36994,2.45327,1.84311,0.000505,0.000505,0.000505
62,17027.5,1.16182,2.40562,1.57465,0.78088,0.83711,0.88157,0.51439,1.36907,2.44982,1.84278,0.000492042,0.000492042,0.000492042
63,18251.2,1.15603,2.39137,1.56933,0.78191,0.83646,0.88198,0.51542,1.36758,2.44638,1.84055,0.000479094,0.000479094,0.000479094
64,19473.7,1.15434,2.38112,1.56261,0.78271,0.8374,0.88218,0.51587,1.36644,2.44218,1.83819,0.000466163,0.000466163,0.000466163
65,20695.8,1.14953,2.35533,1.55797,0.78103,0.83941,0.88292,0.51709,1.36483,2.43673,1.83547,0.000453258,0.000453258,0.000453258
66,21918.3,1.14965,2.35724,1.55704,0.78363,0.83777,0.88343,0.5179,1.36392,2.43065,1.83349,0.00044039,0.00044039,0.00044039
67,23142.2,1.14221,2.3449,1.54896,0.7843,0.83886,0.88394,0.51858,1.36263,2.42636,1.83206,0.000427565,0.000427565,0.000427565
68,24365.4,1.14306,2.32964,1.55044,0.78475,0.8376,0.88371,0.51922,1.36166,2.42063,1.83049,0.000414793,0.000414793,0.000414793
69,25588.2,1.13698,2.32479,1.54662,0.78623,0.83877,0.88411,0.51937,1.36065,2.41589,1.82942,0.000402084,0.000402084,0.000402084
70,26812.1,1.13811,2.31826,1.54062,0.78794,0.83747,0.88348,0.5197,1.36025,2.41017,1.82795,0.000389445,0.000389445,0.000389445
71,28034,1.132,2.29642,1.53476,0.7885,0.83767,0.88468,0.52035,1.35951,2.40578,1.82673,0.000376885,0.000376885,0.000376885
72,29256,1.13296,2.29043,1.53746,0.78801,0.83799,0.88519,0.52088,1.359,2.40104,1.82601,0.000364412,0.000364412,0.000364412
73,30478.7,1.1254,2.28605,1.531,0.78711,0.8381,0.88533,0.5217,1.35857,2.39678,1.82532,0.000352037,0.000352037,0.000352037
74,31701.8,1.12302,2.28101,1.53086,0.78711,0.83721,0.88548,0.5217,1.35802,2.39201,1.82523,0.000339766,0.000339766,0.000339766
75,32925.5,1.12028,2.2762,1.52766,0.78687,0.83857,0.88548,0.52183,1.35791,2.3895,1.82457,0.000327608,0.000327608,0.000327608
76,34149.3,1.11505,2.26663,1.52287,0.78678,0.83785,0.88548,0.52259,1.35728,2.38619,1.82335,0.000315572,0.000315572,0.000315572
77,35372.7,1.11279,2.26828,1.52331,0.78819,0.83544,0.88571,0.52249,1.3567,2.38328,1.82238,0.000303665,0.000303665,0.000303665
78,36597.9,1.10959,2.24856,1.51801,0.78757,0.83737,0.88592,0.52284,1.3559,2.37916,1.82179,0.000291897,0.000291897,0.000291897
79,37821.2,1.10932,2.24038,1.51585,0.78877,0.83297,0.88569,0.52277,1.35589,2.37416,1.82172,0.000280275,0.000280275,0.000280275
80,39045.8,1.10614,2.23776,1.51002,0.78937,0.83231,0.8863,0.52359,1.35533,2.37092,1.82104,0.000268806,0.000268806,0.000268806
