epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15911.3,1.18392,0.82406,0.01796,0.74998,0.79616,0.85253,0.50043,1.34408,0.78764,0.02502,0.000643101,0.000643101,0.000643101
43,16289,1.1787,0.82177,0.01781,0.75308,0.79616,0.85534,0.50132,1.34495,0.78333,0.02502,0.000628101,0.000628101,0.000628101
44,16667.4,1.17366,0.81265,0.01771,0.75321,0.79944,0.85587,0.50134,1.34511,0.78185,0.02499,0.000612981,0.000612981,0.000612981
45,17045.7,1.17107,0.80622,0.0177,0.75273,0.8046,0.85633,0.50145,1.34488,0.77874,0.02497,0.000597754,0.000597754,0.000597754
46,17423.5,1.16837,0.79777,0.01752,0.74986,0.80543,0.85594,0.50174,1.34578,0.77792,0.02497,0.000582435,0.000582435,0.000582435
47,17801.1,1.16994,0.78772,0.0176,0.74792,0.80725,0.85598,0.50186,1.34633,0.77737,0.02497,0.00056704,0.00056704,0.00056704
48,18179.3,1.16223,0.79023,0.01747,0.74584,0.81197,0.85728,0.50276,1.34654,0.77598,0.02498,0.000551584,0.000551584,0.000551584
49,18558.7,1.16161,0.79156,0.01728,0.74796,0.81556,0.85865,0.50361,1.34521,0.77474,0.02495,0.000536081,0.000536081,0.000536081
50,18940.2,1.1567,0.78712,0.01725,0.75023,0.81283,0.85925,0.50417,1.34579,0.77115,0.02495,0.000520548,0.000520548,0.000520548
51,19318.6,1.15305,0.78128,0.01728,0.753,0.81181,0.8602,0.50445,1.34589,0.76891,0.02493,0.000505,0.000505,0.000505
52,19696.6,1.15026,0.77845,0.01718,0.75563,0.81032,0.8592,0.50456,1.34741,0.76463,0.02497,0.000489452,0.000489452,0.000489452
53,20075.8,1.14605,0.77115,0.01715,0.76062,0.80771,0.85883,0.50457,1.34639,0.76419,0.02492,0.000473919,0.000473919,0.000473919
54,20454.9,1.13399,0.77351,0.01682,0.76238,0.80924,0.85959,0.50463,1.34525,0.76336,0.02488,0.000458416,0.000458416,0.000458416
55,20832.6,1.13575,0.76706,0.0168,0.76556,0.80319,0.85971,0.5047,1.34429,0.76187,0.02485,0.00044296,0.00044296,0.00044296
56,21211.3,1.13093,0.76046,0.01673,0.76268,0.81124,0.86099,0.5052,1.3435,0.76083,0.02481,0.000427565,0.000427565,0.000427565
57,21589.5,1.12571,0.75527,0.01665,0.75625,0.81574,0.86315,0.50656,1.34114,0.76156,0.0247,0.000412246,0.000412246,0.000412246
58,21967.2,1.12749,0.74894,0.0167,0.7568,0.81647,0.86377,0.50755,1.34063,0.75926,0.02467,0.000397019,0.000397019,0.000397019
59,22345.4,1.1257,0.74664,0.01654,0.75918,0.81149,0.86388,0.50767,1.3396,0.75859,0.02462,0.000381899,0.000381899,0.000381899
60,22723.5,1.12179,0.74285,0.01657,0.75922,0.81332,0.86383,0.5079,1.33939,0.75727,0.02459,0.000366899,0.000366899,0.000366899
61,23101.6,1.11914,0.7379,0.0165,0.75857,0.81097,0.86373,0.50772,1.34035,0.75513,0.02465,0.000352037,0.000352037,0.000352037
62,23481,1.116,0.73022,0.01649,0.75914,0.8108,0.86262,0.50815,1.3405,0.75198,0.02464,0.000337325,0.000337325,0.000337325
63,23859.5,1.11414,0.73524,0.0164,0.76242,0.80698,0.86294,0.50841,1.34061,0.75039,0.02464,0.000322778,0.000322778,0.000322778
64,24237.7,1.10831,0.73293,0.01625,0.75795,0.81386,0.86431,0.50903,1.34156,0.74892,0.02466,0.000308412,0.000308412,0.000308412
65,24615.7,1.10334,0.73044,0.01619,0.75718,0.81383,0.86381,0.50907,1.3409,0.74783,0.02464,0.000294239,0.000294239,0.000294239
66,24994.3,1.10093,0.72672,0.01609,0.75952,0.81069,0.86456,0.50959,1.33925,0.74681,0.02459,0.000280275,0.000280275,0.000280275
67,25372.2,1.09817,0.71746,0.01608,0.75866,0.81361,0.86434,0.50958,1.34006,0.74575,0.02461,0.000266532,0.000266532,0.000266532
68,25749.8,1.09735,0.71836,0.01601,0.75716,0.81968,0.86525,0.51021,1.3407,0.74316,0.02462,0.000253024,0.000253024,0.000253024
69,26128.4,1.09263,0.71092,0.01587,0.76135,0.81685,0.86612,0.51031,1.33984,0.74277,0.0246,0.000239766,0.000239766,0.000239766
70,26507.4,1.08628,0.71334,0.01585,0.76192,0.81794,0.86611,0.51085,1.33965,0.74268,0.02461,0.000226769,0.000226769,0.000226769
71,26885.7,1.08384,0.70698,0.01578,0.76201,0.81666,0.86648,0.51092,1.33958,0.74122,0.0246,0.000214046,0.000214046,0.000214046
72,27263.7,1.08262,0.71002,0.01579,0.76122,0.81786,0.86737,0.51078,1.34029,0.73831,0.02462,0.000201611,0.000201611,0.000201611
73,27642.3,1.08108,0.7043,0.01574,0.76058,0.81889,0.86719,0.51034,1.34012,0.73689,0.02459,0.000189475,0.000189475,0.000189475
74,28020.5,1.07893,0.70034,0.0156,0.76364,0.81549,0.8675,0.51072,1.34056,0.7347,0.02458,0.000177651,0.000177651,0.000177651
75,28398.3,1.07359,0.70214,0.01558,0.76264,0.816,0.86777,0.51083,1.34048,0.73416,0.02458,0.000166149,0.000166149,0.000166149
76,28776.4,1.07336,0.70334,0.01561,0.76299,0.81718,0.86792,0.51181,1.34002,0.73212,0.02459,0.000154982,0.000154982,0.000154982
77,29155.4,1.06785,0.6924,0.0154,0.76404,0.81734,0.86821,0.5119,1.33952,0.73057,0.02458,0.000144161,0.000144161,0.000144161
