epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17611.4,1.17172,4.12883,1.47211,0.76602,0.85429,0.89919,0.56199,1.27567,3.1352,1.43544,0.000235404,0.000235404,0.000235404
43,18030.4,1.16823,4.12312,1.46905,0.76467,0.85643,0.8993,0.56256,1.27497,3.13281,1.43464,0.000214046,0.000214046,0.000214046
44,18449.7,1.17008,4.11826,1.47239,0.76266,0.85972,0.8994,0.56294,1.27431,3.1322,1.43405,0.000193486,0.000193486,0.000193486
45,18868.9,1.17156,4.13011,1.4718,0.76322,0.85903,0.89959,0.56326,1.27365,3.13034,1.43323,0.00017378,0.00017378,0.00017378
46,19288.1,1.16407,4.10531,1.46802,0.76303,0.85881,0.89965,0.56339,1.27302,3.12957,1.43243,0.000154982,0.000154982,0.000154982
47,19706.9,1.16559,4.1044,1.46836,0.76307,0.85762,0.89973,0.56345,1.27225,3.12867,1.43154,0.000137143,0.000137143,0.000137143
48,20127.8,1.16416,4.07371,1.46744,0.76385,0.85641,0.89976,0.56394,1.27148,3.12711,1.43066,0.000120313,0.000120313,0.000120313
49,20547.4,1.1633,4.07379,1.4651,0.76242,0.85669,0.8998,0.56452,1.27072,3.12615,1.42983,0.000104537,0.000104537,0.000104537
50,20966.5,1.16344,4.06717,1.46639,0.76226,0.85641,0.89967,0.56459,1.27016,3.12433,1.42918,8.98581e-05,8.98581e-05,8.98581e-05
51,21385.6,1.15769,4.04933,1.46199,0.76169,0.85692,0.89976,0.56483,1.2696,3.12198,1.42857,7.63174e-05,7.63174e-05,7.63174e-05
52,21805.9,1.15717,4.07343,1.46513,0.76374,0.85519,0.89986,0.56503,1.26916,3.11926,1.42798,6.39518e-05,6.39518e-05,6.39518e-05
53,22225.1,1.15681,4.06208,1.46101,0.76395,0.85592,0.89993,0.56507,1.2687,3.11778,1.42747,5.2795e-05,5.2795e-05,5.2795e-05
54,22644.3,1.15888,4.062,1.46432,0.76426,0.85604,0.89987,0.56516,1.26821,3.11591,1.42692,4.28777e-05,4.28777e-05,4.28777e-05
55,23063.2,1.16098,4.0673,1.46333,0.76399,0.85591,0.89991,0.56554,1.26766,3.11488,1.42641,3.4227e-05,3.4227e-05,3.4227e-05
56,23482.5,1.16167,4.06324,1.46491,0.76333,0.85628,0.8999,0.56591,1.26735,3.1132,1.42601,2.68667e-05,2.68667e-05,2.68667e-05
57,23901.6,1.15874,4.04683,1.46179,0.76288,0.85905,0.89994,0.56618,1.26692,3.11229,1.42561,2.08169e-05,2.08169e-05,2.08169e-05
58,24321,1.15785,4.06239,1.46394,0.76324,0.85957,0.90003,0.56622,1.2664,3.11146,1.42506,1.60943e-05,1.60943e-05,1.60943e-05
59,24740.3,1.1542,4.04865,1.46056,0.76309,0.86097,0.89994,0.56633,1.26609,3.11129,1.42463,1.27117e-05,1.27117e-05,1.27117e-05
60,25159.9,1.15708,4.05675,1.46325,0.76298,0.86155,0.89995,0.56629,1.26569,3.11074,1.42416,1.06784e-05,1.06784e-05,1.06784e-05
