epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3393.48,1.22576,4.40221,1.50548,0.76274,0.84783,0.89045,0.54716,1.302,3.32367,1.46844,0.000706211,0.000706211,0.000706211
43,3863.02,1.22024,4.38588,1.50168,0.7698,0.84171,0.89078,0.54771,1.30075,3.31729,1.46693,0.000642139,0.000642139,0.000642139
44,4333.94,1.21854,4.35943,1.49935,0.77122,0.84127,0.89114,0.5485,1.29921,3.30955,1.46544,0.000580459,0.000580459,0.000580459
45,4811.85,1.21349,4.33436,1.49694,0.77075,0.84179,0.89127,0.54874,1.29794,3.30371,1.46411,0.000521341,0.000521341,0.000521341
46,5249.21,1.21612,4.34258,1.49666,0.77232,0.83917,0.89153,0.54938,1.29687,3.29913,1.46293,0.000464946,0.000464946,0.000464946
47,5674.34,1.21053,4.30346,1.49117,0.77101,0.84243,0.89179,0.54995,1.29564,3.29473,1.46159,0.00041143,0.00041143,0.00041143
48,6100.14,1.20731,4.28862,1.48804,0.7718,0.83909,0.89204,0.55041,1.29449,3.29052,1.46032,0.000360938,0.000360938,0.000360938
49,6526.19,1.20192,4.26111,1.48582,0.77084,0.84135,0.8927,0.55116,1.29298,3.28711,1.45875,0.00031361,0.00031361,0.00031361
50,6950.9,1.19691,4.26684,1.48454,0.76938,0.84269,0.89293,0.55172,1.2916,3.28216,1.45745,0.000269574,0.000269574,0.000269574
51,178.682,1.27535,3.5659,1.33095,0.78827,0.79778,0.86387,0.49468,1.38447,3.46295,1.24132,0.000228952,0.000228952,0.000228952
52,368.17,1.24711,3.39906,1.30123,0.78533,0.79994,0.86529,0.49732,1.37723,3.44768,1.23601,0.000191855,0.000191855,0.000191855
53,584.711,1.24157,3.33509,1.29285,0.78432,0.80316,0.86685,0.50009,1.37006,3.43378,1.23059,0.000158385,0.000158385,0.000158385
54,836.227,1.23128,3.31298,1.29111,0.78355,0.80678,0.86761,0.50265,1.36352,3.42069,1.22573,0.000128633,0.000128633,0.000128633
55,1026.33,1.22788,3.28108,1.28616,0.7846,0.80677,0.86865,0.50487,1.35706,3.40821,1.221,0.000102681,0.000102681,0.000102681
56,1230.14,1.22087,3.26717,1.2812,0.78037,0.81008,0.86925,0.50687,1.35071,3.39683,1.21637,8.06001e-05,8.06001e-05,8.06001e-05
57,1464.76,1.2219,3.25467,1.28167,0.78192,0.80933,0.86974,0.50901,1.34496,3.38562,1.2121,6.24508e-05,6.24508e-05,6.24508e-05
58,1640.71,1.21894,3.23821,1.27794,0.78234,0.8096,0.87077,0.51129,1.33948,3.37428,1.20775,4.82828e-05,4.82828e-05,4.82828e-05
59,1846.57,1.21718,3.23921,1.27733,0.7788,0.81253,0.87105,0.51294,1.33416,3.36522,1.20381,3.8135e-05,3.8135e-05,3.8135e-05
60,2026.54,1.21868,3.2347,1.27829,0.77687,0.81618,0.87139,0.51407,1.32913,3.35641,1.20011,3.20351e-05,3.20351e-05,3.20351e-05
